timeOfPacket,version,InternetHeaderLength,TypeOfService,TotalLength,Identification,Flags,FragmentOffset,TimeToLive,Protocol,CheckSum,HOST,SrcAddOct1,SrcAddOct2,SrcAddOct3,SrcAddOct4,DstAddOct1,DstAddOct2,DstAddOct3,DstAddOct4,payload,signature,ReasonOfSignatureStatus
2017-06-18 13:01:29.830088,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xaa2,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,39021,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:30.309116,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xaa8,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,39015,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:33.349289,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xabd,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38994,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:33.719311,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xac3,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38988,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:33.837317,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xac5,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38986,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:34.725368,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xacd,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38978,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:35.292401,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xad0,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38975,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:35.582417,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xad4,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38971,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:35.863433,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xad6,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38969,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:36.208453,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xadb,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38964,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:01:36.498470,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xae0,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38959,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:19:19.414265,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbb5,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38746,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:19:19.547273,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbb8,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38743,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:19:26.327660,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbbe,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38737,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:19:26.575675,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbc6,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38729,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:09.336552,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbed,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38690,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:09.699573,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xbf3,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38684,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:20.829209,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xc04,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38667,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:21.528249,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xc0a,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38661,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:25.223461,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xc0f,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38656,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:32.726890,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,48,0xc15,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38642,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\x05\x06\x00\x00\x00\x02\x04\x00\x00\x00\xe0\x00\x00\xfc\x04\x00\x00\x00\xef\xff\xff\xfa'",Good,OK
2017-06-18 13:21:32.825896,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xc16,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38649,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xfa\x01\x00\x00\x00\x01\x03\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
2017-06-18 13:21:33.215918,4,24,Routine			Normal delay			Normal throughput			Normal Reliability			Normal monetary cost,40,0xc1c,"('0 - Reserved bit\t\t\t0 - Fragment if necessary\t\t\t0 - last fragment', 0, 0, 0)",0,1, IGMP for user Authentication Protocol. 	 Internet Group Management Protocol. 	 Router-port Group Management Protocol.,38643,192.168.225.1,192,168,225,1,224,0,0,22,"b'""\x00\xf9\x01\x00\x00\x00\x01\x04\x00\x00\x00\xe0\x00\x00\xfc'",Good,OK
